calendarDate,isOpen,prevTradeDate,isWeekEnd,isMonthEnd,isQuarterEnd,isYearEnd
20191115,1,20191114,1,0,0,0
20191116,0,20191115,0,0,0,0
20191117,0,20191115,0,0,0,0
20191118,1,20191115,0,0,0,0
20191119,1,20191118,0,0,0,0
20191120,1,20191119,0,0,0,0
20191121,1,20191120,0,0,0,0
20191122,1,20191121,1,0,0,0
20191123,0,20191122,0,0,0,0
20191124,0,20191122,0,0,0,0
20191125,1,20191122,0,0,0,0
20191126,1,20191125,0,0,0,0
20191127,1,20191126,0,0,0,0
20191128,1,20191127,0,0,0,0
20191129,1,20191128,1,1,0,0
20191130,0,20191129,0,0,0,0
20191201,0,20191129,0,0,0,0
20191202,1,20191129,0,0,0,0
20191203,1,20191202,0,0,0,0
20191204,1,20191203,0,0,0,0
20191205,1,20191204,0,0,0,0
20191206,1,20191205,1,0,0,0
20191207,0,20191206,0,0,0,0
20191208,0,20191206,0,0,0,0
20191209,1,20191206,0,0,0,0
20191210,1,20191209,0,0,0,0
20191211,1,20191210,0,0,0,0
20191212,1,20191211,0,0,0,0
20191213,1,20191212,1,0,0,0
20191214,0,20191213,0,0,0,0
20191215,0,20191213,0,0,0,0
20191216,1,20191213,0,0,0,0
20191217,1,20191216,0,0,0,0
20191218,1,20191217,0,0,0,0
20191219,1,20191218,0,0,0,0
20191220,1,20191219,1,0,0,0
20191221,0,20191220,0,0,0,0
20191222,0,20191220,0,0,0,0
20191223,1,20191220,0,0,0,0
20191224,1,20191223,0,0,0,0
20191225,1,20191224,0,0,0,0
20191226,1,20191225,0,0,0,0
20191227,1,20191226,1,0,0,0
20191228,0,20191227,0,0,0,0
20191229,0,20191227,0,0,0,0
20191230,1,20191227,0,0,0,0
20191231,1,20191230,1,1,1,1
